"Value","Description","Nat","On Street","Mode","Type","SubType","Version"
"BCT","On-street Bus / Coach / Tram Stop",,"On street","Bus,Coach,Tram / Metro","MarkedPoint","MKD",1
"BCT","On-street Bus / Coach / Tram Stop",,"On street","Bus,Coach,Tram / Metro","UnmarkedPoint","CUS",1
"BCT","On-street Bus / Coach / Tram Stop",,"On street","Bus,Coach,Tram / Metro","HailAndRide","HAR",1
"BCT","On-street Bus / Coach / Tram Stop",,"On street","Bus,Coach,Tram / Metro","FlexibleZone","FLX",2
"TXR","Taxi Rank (head of)",,"On street","Taxi","TaxiRank","",1
"STR","Shared Taxi Rank (head of)",,"On street","Taxi","SharedTaxiRank",1
"AIR","Airport Entrance",,"Off street","Air","Entrance","",1
"GAT","Airport Interchange Area",920,"Off street","Air","AccessArea","",1
"FTD","Ferry Terminal / Dock Entrance",930,"Off street","Ferry / Ship","Entrance","",1
"FBT","Ferry or Port Berth",930,"Off street","Ferry / Ship","Berth","",1
"FER","Ferry or Port Interchange Area",930,"Off street","Ferry / Ship","AccessArea","",1
"RSE","Rail Station Entrance",,"Off street","Rail","Entrance","",1
"RLY","Railway Interchange Area",910,"Off street","Rail","AccessArea","",1
"RPL","Railway Platform",910,"Off street","Rail","Platform","",1.2
"TMU","Tram / Metro / Underground Entrance",,"Off street","Tram / Metro","Entrance","",1
"MET","Underground or Metro Interchange Area",940,"Off street","Tram / Metro","AccessArea","",1.2
"PLT","Underground or Metro platform",940,"Off street","Tram / Metro","Platform","",1
"BCE","Bus / Coach Station Entrance",,"Off street","Bus,Coach","Entrance","",1
"BST","Bus Coach Station Access Area",900,"Off street","Bus,Coach","AccessArea","",1
"BCS","Bus / Coach bay / stand / stance within Bus / Coach Stations",900,"Off street","Bus,Coach","Bay","",1
"BCQ","Bus Coach Station Variable Bay",900,"Off street","Bus,Coach","VariableBay","",2
